Name|Treecko
Number|252
ExperienceType|2
BaseExperience|62
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|252
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|65
Ability2|Nothing
HiddenAbility|84
EggMoves|331,242,306,24,225,283,320,580,437,73,345,300,363,13,235,388,202
Machines|223,174,92,249,237,241,173,63,182,202,203,218,76,231,216,91,189,104,207,214,129,9,197,156,213,210,5,25,34,36,66,68,69,99,72,102,117,130,164,264,331,280,317,332,263,290,412,374,409,416,445,363,490,496,267,612,590,15,70
BaseHP|40
BaseAttack|45
BaseDefense|35
BaseSpAttack|65
BaseSpDefense|55
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.\Wood Gecko Pokémon\5\0.5\0,148,0
Scale|0.7
Move|1,1
Move|1,43
Move|5,71
Move|9,98
Move|13,72
Move|17,228
Move|21,202
Move|25,97
Move|29,21
Move|33,197
Move|37,412
Move|45,283
Move|49,103
TradeValue|50
EvolutionCondition|253,level,16,level
